neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Neighborhood highlights,40.69132,-73.97306,Private room,95.0,30,178,1.02,2,365
,40.67582,-73.9518,Private room,60.0,30,277,1.59,2,297
Neighborhood highlights,40.82402,-73.95263,Private room,58.0,30,34,0.19,1,303
Neighborhood highlights,40.76406,-73.92266,Entire home/apt,,30,41,0.24,1,79
Neighborhood highlights,40.6767158,-73.9818207,Private room,133.0,3,230,1.34,1,9
,40.78096,-73.98808,Entire home/apt,243.0,30,133,0.78,1,88
Neighborhood highlights,40.67635,-73.96108,Entire home/apt,142.0,30,133,0.78,2,334
,40.73125,-73.9811,Entire home/apt,125.0,30,21,0.12,1,58
Neighborhood highlights,40.82553,-73.94511,Entire home/apt,,30,0,0.0,1,0
Neighborhood highlights,40.67466,-73.97853,Entire home/apt,,30,106,0.75,1,184
,40.68702,-73.94917,Private room,,30,70,0.41,3,0
Neighborhood highlights,40.76922,-73.95648,Entire home/apt,,30,8,0.05,1,0
,40.80384,-73.95123,Entire home/apt,85.0,30,184,1.05,1,219
Neighborhood highlights,40.68462,-73.92895,Entire home/apt,90.0,30,97,0.57,1,286
Neighborhood highlights,40.68595,-73.92923,Entire home/apt,99.0,30,94,0.64,1,335
,40.81127,-73.94561,Entire home/apt,,30,132,0.76,4,30
Neighborhood highlights,40.68646,-73.97548,Entire home/apt,189.0,30,136,0.8,1,184
Neighborhood highlights,40.67497,-73.97796,Private room,266.0,3,54,0.34,1,69
Neighborhood highlights,40.67478,-73.95165,Entire home/apt,,30,86,0.5,1,29
Neighborhood highlights,40.71347,-73.96035,Entire home/apt,280.0,30,193,1.12,1,97
Neighborhood highlights,40.687,-73.96149,Entire home/apt,398.0,30,115,0.67,2,41
Neighborhood highlights,40.68339,-73.94034,Entire home/apt,185.0,30,158,0.92,1,178
,40.6878,-73.97253,Entire home/apt,,30,4,0.04,1,0
Neighborhood highlights,40.5847,-73.94088,Private room,65.0,30,125,0.73,2,87
,40.71955,-73.95471,Entire home/apt,,30,14,0.08,1,0
Neighborhood highlights,40.69049,-73.93212,Entire home/apt,89.0,30,67,0.39,1,334
Neighborhood highlights,40.73933410644531,-73.9248046875,Private room,71.0,30,314,1.9,1,300
Neighborhood highlights,40.67828,-73.98414,Entire home/apt,,30,9,0.05,1,0
Neighborhood highlights,40.71681594848633,-73.98969268798828,Private room,220.0,5,93,0.74,1,292
Neighborhood highlights,40.60742,-74.14388,Entire home/apt,,30,1,0.01,1,0
,40.69062,-73.97354,Private room,183.0,30,156,0.91,2,181
,40.67487,-73.97637,Private room,,30,41,0.25,2,365
,40.72506,-73.97906,Entire home/apt,,30,22,0.13,1,0
,40.80687,-73.95333,Entire home/apt,259.0,30,30,0.17,2,365
,40.72297,-73.9851,Private room,,30,32,0.24,1,0
,40.80392,-73.94765,Entire home/apt,175.0,30,18,0.1,1,358
,40.7304,-74.00228,Entire home/apt,,30,18,0.1,1,0
